fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
24.9509,12.2758,2.4928,0.4566,0.2331,31.4747,18.5466,6.3908,23.425,184.21,1
21.4086,9.9958,2.2788,0.5684,0.3342,-4.3365,16.2155,9.9467,35.187,101.901,1
19.6147,7.4136,2.0881,0.7347,0.4286,1.2375,-7.0857,-4.8478,29.2598,236.766,1
23.9073,12.3949,2.2923,0.6071,0.375,-25.7692,-13.9242,-4.2336,3.145,111.872,1
94.1467,18.9409,3.0249,0.3154,0.1903,-14.1273,67.9024,-20.1648,1.505,347.551,1
21.2476,16.0644,2.5563,0.4611,0.2819,25.8523,9.4638,8.0603,35.602,129.934,1
36.4288,32.6215,3.4793,0.2149,0.109,30.2361,23.0286,22.4956,43.6107,102.899,1
19.6285,10.546,2.3345,0.6343,0.3403,8.7448,-17.4441,-10.7656,14.4,203.949,1
97.7331,34.3795,3.2945,0.2548,0.1546,30.8789,-48.7222,22.798,0.908,391.912,1
22.8211,11.4851,2.3988,0.5709,0.3214,11.9173,20.5853,-6.2059,8.907,150.846,1
41.2575,21.8584,2.9923,0.2209,0.1155,-7.1115,-22.9775,-13.0627,2.555,233.09,1
40.9514,16.0836,2.5521,0.3534,0.2006,-1.638,15.5144,-4.2558,4.131,208.521,1
52.0784,40.8296,3.4468,0.1258,0.0634,19.7963,38.9315,18.2938,5.802,140.33,1
26.3338,20.7068,2.8576,0.2887,0.1534,-14.8353,2.55,-14.557,23.314,117.675,1
12.4914,11.9773,2.0233,0.6919,0.3554,15.9381,-8.3772,10.7016,33.158,124.24,1
56.4236,21.152,3.2241,0.154,0.0791,-2.6182,-10.1986,9.4643,1.4636,184.47,1
19.2002,12.8107,2.3531,0.541,0.286,-12.0461,-13.9132,8.4257,8.542,172.938,1
28.3129,13.9681,2.6637,0.5119,0.2918,23.5462,25.9408,-3.6015,8.1316,238.754,1
35.8907,26.6034,3.1742,0.2236,0.1162,13.5096,27.943,-15.2957,1.943,121.695,1
23.9026,17.8605,2.4955,0.3834,0.1933,11.0952,18.7668,-17.4396,63.4582,132.013,1
12.9826,11.2504,2.1508,0.7491,0.3922,-14.9579,4.9368,11.6766,86.7275,111.528,1
22.4632,16.3469,2.4609,0.4048,0.2059,-24.0797,-11.1927,8.6936,16.2131,110.497,1
19.1573,16.9044,2.3334,0.5568,0.3782,21.4123,8.3021,-11.2506,11.763,129.953,1
28.8068,13.8858,2.6248,0.3796,0.2147,16.4385,-12.4388,5.6214,0.2906,203.787,1
24.4714,0,2.0273,0.7136,0.3897,0,0,14.1076,43.301,214.197,1
28.389,20.251,2.6772,0.3028,0.1651,1.9901,-5.2832,5.4017,15.2987,95.5889,1
29.001,18.3169,3.066,0.3282,0.1826,13.757,-18.5409,11.3761,1.14,193.666,1
26.5768,19.3691,2.6684,0.3369,0.1749,-0.6554,-22.7996,12.3201,17.599,133.29,1
82.2887,29.461,3.5923,0.1744,0.0904,61.2987,60.6541,-6.6126,0.5058,322.709,1
63.6129,16.7516,2.7653,0.2884,0.1554,39.5165,59.6089,12.2337,1.1868,247.397,1
19.5565,11.0315,2.4183,0.6565,0.4179,-17.0924,-19.835,11.6883,22.452,140.19,1
12.8789,11.4348,2.1658,0.7372,0.372,15.0295,-3.4,11.7179,9.2006,182.865,1
13.2183,10.8221,2.1351,0.7766,0.3919,-14.9535,0.9057,11.8929,7.022,151.46,1
25.8002,13.2023,2.3936,0.501,0.2848,17.6722,14.3858,11.9903,12.5937,171.925,1
29.1545,12.6045,2.6679,0.449,0.2309,-25.4581,-13.112,-8.6614,24.7086,154.872,1
94.7524,42.9794,3.9488,0.1286,0.0663,14.8095,47.6018,23.6794,2.9513,344.101,1
21.8483,12.7848,2.3757,0.4589,0.2421,-28.5594,-9.35,8.8048,28.132,85.2515,1
39.2553,23.4992,3.0755,0.1992,0.1013,-18.867,-23.1843,-9.7169,5.892,175.146,1
88.1093,20.6028,2.7589,0.2718,0.1542,56.4569,72.0646,5.3155,8.618,173.233,1
112.238,33.4058,3.252,0.2771,0.1391,7.8799,-91.4841,33.5943,0.9466,348.115,1
23.578,10.5395,2.4354,0.5394,0.2734,-15.4116,-17.4231,-6.9925,50.598,178.901,1
30.4842,27.2376,3.2831,0.2449,0.1295,19.8131,25.7304,16.7266,24.4731,94.3593,1
19.7221,15.8656,2.6248,0.5196,0.3096,7.4801,13.3605,-13.2124,31.983,132.292,1
37.3484,16.1795,2.781,0.3013,0.1598,-9.6098,32.6128,8.4204,0.4092,177.726,1
81.924,24.0344,3.1202,0.2767,0.1823,80.6452,67.9563,-16.8379,4.2963,200.021,1
20.8855,7.0673,2.2343,0.7289,0.3878,-23.1381,-11.8762,-6.045,8.3002,135.243,1
32.0205,17.3002,3.0103,0.3164,0.1704,30.7149,18.6074,11.1977,5.6933,179.787,1
