fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
28.9288,8.3747,2.372,0.569,0.3121,19.3269,-17.2929,-9.3341,20.6729,174.312,1
20.8834,12.9015,2.4495,0.5364,0.2966,-11.1144,-10.5109,7.0717,18.7607,231.214,1
13.3396,10.5628,2.1917,0.791,0.4019,-14.891,-2.3901,11.9001,10.7959,182.91,1
20.7522,11.1067,2.2601,0.5989,0.3214,14.3723,18.4301,5.3336,43.8882,230.192,1
27.8675,6.8238,2.3579,0.5965,0.3004,33.6239,17.9717,2.6727,8.5878,141.871,1
33.4245,19.2319,3.0092,0.2761,0.1522,14.058,17.7395,8.5339,62.169,45.957,1
31.1823,14.847,2.3149,0.4697,0.2542,-28.483,-24.1133,7.8002,22.9229,107.931,1
20.5613,12.4151,2.3589,0.5164,0.2867,-24.4586,-14.527,-10.2577,4.7412,112.347,1
59.0483,24.8113,3.2908,0.1566,0.0852,42.7597,-23.8426,14.0244,8.161,226.055,1
20.4916,16.0929,2.4433,0.6018,0.4162,13.2315,21.1434,-7.7435,23.468,72.9904,1
44.3014,19.2551,2.8573,0.2806,0.1479,51.686,35.2293,16.6966,9.83,279.156,1
91.1262,32.5615,3.2632,0.1909,0.1203,77.3058,93.7059,29.603,7.923,287.924,1
30.3022,10.9742,2.3627,0.5813,0.3883,24.0996,25.7268,10.2649,36.929,249.363,1
33.5414,11.6431,2.5378,0.4319,0.2217,11.4003,21.0699,11.6025,9.224,117.892,1
33.3331,17.4154,3.1432,0.3013,0.1514,-12.3452,20.3642,10.9383,8.866,153.997,1
55.7546,18.3318,3.1534,0.2705,0.1626,-76.1022,45.9467,14.3961,3.628,285.788,1
32.1447,19.3534,2.635,0.343,0.1796,20.9922,12.7919,8.2013,62.3724,74.779,1
12.8442,11.3837,2.3212,0.7208,0.4224,14.9715,-8.5518,-7.5157,42.146,148.972,1
82.1792,21.0508,3.3779,0.1818,0.0945,59.2611,79.006,-9.2112,3.333,241.222,1
22.8945,12.8986,2.1987,0.557,0.2943,14.9756,9.3203,-7.9253,52.36,118.838,1
16.854,11.1091,2.3243,0.6209,0.3294,4.1559,-8.7134,6.449,4.875,239.226,1
46.2189,27.2533,3.1582,0.2397,0.1601,37.6236,41.4548,11.7286,66.846,141.621,1
78.5963,25.2864,3.1675,0.1476,0.0792,40.0424,67.1823,5.6572,2.858,236.774,1
12.918,11.3663,2.2822,0.7415,0.3838,15.0428,-5.0095,-11.6677,62.4135,149.057,1
20.2467,10.4762,2.3096,0.6275,0.3162,8.6645,-18.0061,10.9604,79.4844,161.749,1
24.1754,14.1008,2.4314,0.463,0.2611,-15.3973,-9.0704,11.8405,1.3133,167.008,1
41.67,18.7448,2.9012,0.295,0.1488,9.9005,-24.4399,11.6649,4.758,192.377,1
30.0005,21.6966,2.934,0.3062,0.1857,23.3297,17.6318,-18.5123,27.943,151.522,1
113.563,22.193,2.5283,0.3881,0.2119,-128.202,86.7902,13.6508,11.697,268.957,1
30.15,19.2314,2.7243,0.2642,0.1557,-4.2906,-10.2902,-9.0885,6.93,173.789,1
19.9279,10.5256,2.3222,0.6524,0.3548,5.9267,-16.4716,2.9613,45.8523,155.375,1
26.3646,18.6624,2.5045,0.3912,0.1987,3.4563,-16.3674,-14.2348,62.848,224.101,1
32.2076,15.2769,2.6785,0.4109,0.2275,10.9445,-22.9561,-5.9134,9.736,191.158,1
50.6386,19.9415,2.7896,0.2435,0.1339,25.7229,35.5206,11.6248,14.5598,118.974,1
96.8446,23.4002,3.4076,0.2097,0.1277,73.8494,104.504,-11.9749,0.7867,261.046,1
19.605,7.0065,2.2707,0.8097,0.4316,20.2043,13.5906,4.3033,20.337,80.0587,1
47.3112,16.0674,2.7835,0.2568,0.1292,-46.1403,-34.8554,-10.9342,0.069,163.858,1
70.6596,30.9809,3.1274,0.1529,0.0764,-77.6508,48.7238,12.3933,11.138,253.993,1
21.9021,11.1088,2.238,0.6185,0.3844,15.3367,19.5778,7.9295,56.0249,97.4132,1
12.6993,11.6935,2.1055,0.7137,0.3804,15.5772,-8.1995,-10.6766,7.8517,95.3424,1
20.9316,15.2379,2.4857,0.4575,0.2402,25.2371,14.1903,5.9376,36.675,137.007,1
