fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
32.9499,12.5784,2.7443,0.4583,0.2948,31.8076,22.0003,11.6583,41.9699,198.3992,0
106.494,61.7182,3.3706,0.147,0.076,-83.8944,-53.4208,-85.8212,80.5153,144.584,0
23.8851,15.8349,2.5224,0.4354,0.2177,8.8391,17.2426,15.855,17.1681,185.295,1
117.546,48.6587,3.5949,0.1484,0.0845,-96.5366,-117.82,32.14,28.412,323.658,0
65.0499,21.0138,3.0799,0.1997,0.1027,-66.2538,46.1153,14.9457,2.2,264.389,1
18.1525,15.6634,2.3918,0.5355,0.2698,9.025,-16.9469,11.9734,74.436,181.289,0
13.2519,10.7242,2.2889,0.7815,0.4139,14.6456,2.5132,11.8198,21.265,197.845,0
35.1152,17.8053,2.8385,0.2667,0.1026,-1.0544,36.1822,6.2832,5.8542,238.0909,0
107.5882,53.3276,2.9783,0.2712,0.1509,-117.5829,-56.8794,53.5203,50.1435,285.113,0
74.4417,28.3567,3.2103,0.2421,0.1426,-77.3368,36.8007,17.6371,3.9083,284.264,1
96.0797,64.5826,3.7519,0.082,0.0505,29.593,65.2416,-36.5273,46.8643,188.972,0
31.8841,13.4964,2.5752,0.4407,0.2786,-7.8235,18.4639,10.9742,77.7712,129.0888,0
49.9108,18.041,2.8079,0.2786,0.1564,22.178,41.3432,10.3998,21.104,252.329,1
27.4599,12.6085,2.6069,0.4302,0.2213,-30.6896,-11.6992,5.4168,68.844,221.497,0
41.4607,13.1818,2.8417,0.2869,0.2009,12.6922,33.6571,9.0741,49.329,210.499,0
20.2926,9.4958,2.2923,0.6582,0.3852,-6.1566,16.0219,10.7907,28.986,123.604,1
50.6311,41.2324,3.261,0.1815,0.1033,-46.0113,26.5791,-23.9657,89.6497,33.6037,0
141.4314,88.6019,3.2561,0.2757,0.1317,-42.7243,-113.3573,51.547,18.5579,352.3139,0
23.4666,15.4531,2.6924,0.4183,0.2447,-8.7336,-8.9713,-10.9715,61.1034,108.626,0
22.8277,14.7154,2.4579,0.5261,0.3502,6.4309,12.8232,7.3278,53.449,155.257,1
23.8914,11.447,2.5347,0.5606,0.2964,9.808,21.9157,-5.3552,47.8615,121.409,0
60.0403,22.9712,3.3998,0.2039,0.1054,51.5181,44.3123,-10.1128,4.02,234.056,1
61.4831,28.2966,3.1411,0.1662,0.0835,71.5257,34.4781,-23.8253,78.935,154.425,0
107.7833,16.1712,2.6376,0.4791,0.289,-165.7898,98.5015,-13.4604,50.5049,211.6994,0
